category,component,usage_percentage
OS Version,Windows,94.62%
OS Version,Windows 11 64 bit,66.71%
OS Version,Windows 10 64 bit,27.79%
OS Version,Windows 7 64 bit,0.08%
OS Version,OSX,2.01%
OS Version,MacOS 26.2.0 64 bit,0.56%
OS Version,MacOS 26.1.0 64 bit,0.28%
OS Version,MacOS 15.6.1 64 bit,0.23%
OS Version,MacOS 15.7.3 64 bit,0.14%
OS Version,MacOS 15.5.0 64 bit,0.10%
OS Version,MacOS 15.6.0 64 bit,0.07%
OS Version,MacOS 26.0.1 64 bit,0.05%
OS Version,Linux,3.38%
OS Version,"""Arch Linux"" 64 bit",0.31%
OS Version,Linux Mint 22.2 64 bit,0.22%
OS Version,Ubuntu Core 24 64 bit,0.13%
OS Version,Ubuntu 24.04.3 LTS 64 bit,0.13%
OS Version,Linux Mint 22.3 64 bit,0.08%
OS Version,"""Fedora Linux 43 (KDE Plasma Desktop Edition)"" 64 bit",0.07%
OS Version,"""EndeavourOS Linux"" 64 bit",0.06%
OS Version,"""Nobara Linux 43 (KDE Plasma Desktop Edition)"" 64 bit",0.06%
OS Version,Debian GNU/Linux 13 (trixie) 64 bit,0.06%
OS Version,"""Manjaro Linux"" 64 bit",0.06%
OS Version,Ubuntu 25.10 64 bit,0.05%
System RAM,Less than 4 GB,0.02%
System RAM,4 GB,1.52%
System RAM,8 GB,7.78%
System RAM,12 GB,2.46%
System RAM,16 GB,40.24%
System RAM,24 GB,1.83%
System RAM,28 GB,0.52%
System RAM,32 GB,38.02%
System RAM,48 GB,1.19%
System RAM,60 GB,0.92%
System RAM,64 GB,4.26%
System RAM,More than 64 GB,0.61%
System RAM,Other,0.63%
Intel CPU Speeds,Unspecified,0.01%
Intel CPU Speeds,Below 1.4 Ghz,0.74%
Intel CPU Speeds,1.4 Ghz to 1.49 Ghz,0.15%
Intel CPU Speeds,1.5 Ghz to 1.69 Ghz,0.19%
Intel CPU Speeds,1.7 Ghz to 1.99 Ghz,1.04%
Intel CPU Speeds,2.0 Ghz to 2.29 Ghz,3.19%
Intel CPU Speeds,2.3 Ghz to 2.69 Ghz,20.89%
Intel CPU Speeds,2.7 Ghz to 2.99 Ghz,8.68%
Intel CPU Speeds,3.0 Ghz to 3.29 Ghz,4.97%
Intel CPU Speeds,3.3 Ghz to 3.69 Ghz,12.56%
Intel CPU Speeds,3.7 Ghz and above,2.59%
Physical CPUs,1 cpu,0.02%
Physical CPUs,2 cpus,3.16%
Physical CPUs,3 cpus,0.11%
Physical CPUs,4 cpus,13.43%
Physical CPUs,5 cpus,0.14%
Physical CPUs,6 cpus,28.45%
Physical CPUs,7 cpus,0.01%
Physical CPUs,8 cpus,26.67%
