index,category,component,usage_percentage
306,Free Hard Drive Space,250 GB to 499 GB,22.46%
46,Intel CPU Speeds,3.3 Ghz to 3.69 Ghz,12.56%
272,Language,Simplified Chinese,23.86%
238,Multi-Monitor Desktop Resolution,3840 x 1080,50.14%
1,OS Version,Windows 11 64 bit,66.71%
356,Other Settings,LAHF / SAHF,98.49%
55,Physical CPUs,8 cpus,26.67%
218,Primary Display Resolution,2560 x 1440,21.32%
31,System RAM,32 GB,38.02%
319,Total Hard Drive Space,750 GB to 999 GB,22.70%
322,VR Headsets,Oculus Quest 2,23.77%
199,VRAM,12 GB,15.07%
188,Video Card Description,NVIDIA GeForce RTX 4060,4.16%
