app_id,game_name,os,processor,memory,graphics,directx,storage
578080,PUBG: BATTLEGROUNDS,64-bit Windows 10,Intel Core i5-6600K / AMD Ryzen 5 1600,16 GB RAM,NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 4GB,"Version 11
Network:
Broadband Internet connection",50 GB available space
1766060,HumanitZ,Windows 10,Intel Core i7-9700K,16 GB RAM,Nvidia RTX 2060,,20 GB available space
252490,Rust,Windows 11 64bit,AMD Ryzen 7 3700X or Intel® Core i7-6700K,16 GB RAM,"AMD Radeon RX 6600XT, NVIDIA GeForce RTX 3060, Intel Arc B580","Version 12
Network:
Broadband Internet connection",45 GB available space
1808500,ARC Raiders,Windows 10 or later 64-bit (latest update),Intel Core i5-9600K or AMD Ryzen 5 3600 processor,16 GB RAM,NVIDIA GeForce RTX 2070 or AMD Radeon RX 5700 XT or Intel Arc B570,"Version 12
Network:
Broadband Internet connection",
553850,HELLDIVERS™ 2,Windows 10,Intel Core i7-9700K or AMD Ryzen 7 3700X,16 GB RAM,NVIDIA GeForce RTX 2060 or AMD Radeon RX 6600XT,,135 GB available space
381210,Dead by Daylight,Windows 10 64-bit Operating System,Intel Core i3-4170 or AMD FX-8300 or higher,8 GB RAM,DX11 Compatible GeForce 760 or AMD HD 8800 or higher with 4GB of RAM,"Version 11
Network:
Broadband Internet connection",50 GB available space
3564740,Where Winds Meet,Windows 10/11 64bit,Core i7-10700 / Ryzen 7 3700X,32 GB RAM,RTX 2070 SUPER / RX 6700 XT / ARC A750,"Version 12
Network:
Broadband Internet connection",100 GB available space
3472040,NBA 2K26,Windows 11 64-Bit (latest update),Intel® Core™ i5-10600 or AMD Ryzen™ 5 3600X,16 GB RAM,NVIDIA® GeForce® RTX 2070 8 GB or AMD Radeon™ RX 5700 8 GB or Intel® Arc™ A770,"Version 12
Network:
Broadband Internet connection",110 GB available space
2349820,Hero's Land,Win10 64-bit,Intel i5 7代 or AMD FX 6300,4 GB RAM,NVIDIA GeForce GTX 1050,,4 GB available space
3405690,EA SPORTS FC™ 26,Windows 10/11 - 64-Bit (Latest Update).,AMD Ryzen 7 2700X or Intel Core i7 6700,12 GB RAM,AMD RX 5600 XT or Nvidia GTX 1660,"Version 12
Network:
Broadband Internet connection",100 GB available space
3017860,DOOM: The Dark Ages,Windows 10 64-Bit / Windows 11 64-Bit,"AMD Zen 3 or Intel 12th Generation CPU @3.2Ghz with 8 cores / 16 threads or better (examples: AMD Ryzen 7 5700X or better, or Intel Core i7 12700K or better)",32 GB RAM,"NVIDIA or AMD hardware Raytracing-capable GPU with 10GB dedicated VRAM or better (examples: NVIDIA RTX 3080 or better, AMD RX 6800 or better)",,100 GB available space
1086940,Baldur's Gate 3,Windows 10 64-bit,Intel i7 8700K / AMD r5 3600,16 GB RAM,Nvidia 2060 Super / RX 5700 XT / Intel Arc A580 (8GB+ of VRAM),Version 11,150 GB available space
3764200,Resident Evil Requiem,Windows 11 (64bit required),Intel Core i7-8700 / AMD Ryzen 5 5500,16 GB RAM,GeForce RTX 2060 Super 8GB / Radeon RX 6600 8GB,Version 12,
1588550,Cairn,Windows 10,"Intel Core i7-10700 (8 * 2900), AMD Ryzen 7 3700X (8 * 3600) or equivalent",8 GB RAM,"Geforce RTX 2060 Super (6144 MB), Radeon RX 5700 (8192 MB)",,10 GB available space
1371980,No Rest for the Wicked,Windows 10 / Windows 11,Intel Core i7-11700K / AMD Ryzen 7 5800X,32 GB RAM,Nvidia GeForce RTX 2060 / AMD Radeon RX 5700 XT,,46 GB available space
1222670,The Sims™ 4,64 Bit Windows 10,"Intel core i5 (4 cores), AMD Ryzen 5 or better",8 GB RAM,"1 GB of Video RAM, NVIDIA GTX 650, AMD Radeon HD 7750, or better","Version 11
Network:
Broadband Internet connection",51 GB available space
221100,DayZ,Windows 10 / 11 64-bit,Intel Core i5-6600K or AMD R5 1600X,12 GB RAM,NVIDIA GeForce GTX 1060 or AMD RX 580,Version 11,30 GB available space
1203220,NARAKA: BLADEPOINT,Windows 10 64-bit,Intel i7 7th generation or equivalent,16 GB RAM,"NVIDIA GeForce GTX 1060 6G, Intel Arc A750, AMD RX480 or equivalent","Version 11
Network:
Broadband Internet connection",55 GB available space
3241660,R.E.P.O.,Windows 11,Intel Core i7 8700,8 GB RAM,GTX 1070,"Version 12
Network:
Broadband Internet connection",1 GB available space
4025700,Heartopia,Windows 10 / 11,Intel Core i5 6500 or AMD R3 1200,16 GB RAM,Nvidia GTX 1060 or AMD RX 480,"Version 11
Network:
Broadband Internet connection",10 GB available space
2432860,MENACE,Windows® 10 (64-bit),Intel® Core™ i5-9600K (hexa-core) or AMD® Ryzen™ 5 2600X (hexa-core),16 GB RAM,NVIDIA® GeForce™ RTX 2070 (8 GB) or AMD® Radeon™ RX 5700 XT (8 GB),Version 12,12 GB available space
2499860,DRAGON QUEST VII Reimagined,Windows® 11,AMD Ryzen™ 3 1200/Intel® Core™ i3-6100,16 GB RAM,AMD Radeon™ RX 580/Intel® Arc™ A750/NVIDIA® GeForce® GTX 1070,Version 12,15 GB available space
1599340,Lost Ark,Windows 11 (64-bit only),Intel Core i5 – 9400 AMD Ryzen5 2600,16 GB RAM,Nvidia Geforce GTX 1660 Super / AMD Radeon RX 6600,"Version 11
Network:
Broadband Internet connection",110 GB available space
2397300,Half Sword,Windows 10/11 (64Bit),"Intel(R) Core(TM) i7-12700, AMD Ryzen 7 7700X",16 GB RAM,"NVIDIA GeForce RTX 4070, AMD Radeon RX 7800 XT",Version 12,15 GB available space
2592160,Dispatch,Windows 10 (64-bit) or later,Processor: Intel(R) Core(TM) i5-7400 CPU / AMD Ryzen 5 2600 or higher,16 GB RAM,NVIDIA GTX 1050 / AMD Radeon RX 580,Version 11,15 GB available space
435150,Divinity: Original Sin 2 - Definitive Edition,"*:
Windows 7 SP1 64-bit or Windows 8.1 64-bit or Windows 10 64-bit",Intel Core i7 or equivalent,8 GB RAM,NVIDIA GeForce GTX 770 or AMD R9 280,Version 11,60 GB available space
3681010,Nioh 3,Windows® 11,"Intel Core i5-10600K, AMD Ryzen 5 5600X 6 cores / 12 threads or higher",16 GB RAM,"NVIDIA GeForce RTX 3060 Ti VRAM 8GB, AMD Radeon RX 6700 XT VRAM 12GB","Version 12
Network:
Broadband Internet connection",125 GB available space
3513350,Wuthering Waves,Windows10 64-bit,Intel Core i7 (9th Gen) / Ryzen 3700,16 GB RAM,"NVIDIA GeForce RTX 2060/AMD Radeon RX 5700XT/intel ARC A750
Network:
Broadband Internet connection",,60 GB available space
3656800,Train Sim World® 6,64-bit Windows 10 or Windows 11,Intel Core i5-9600K @ 3.7 GHz or AMD Ryzen 5 3600 @ 3.6 GHz,16 GB RAM,NVIDIA GeForce RTX 2060 6 GB or AMD Radeon RX 5700 with 8 GB VRAM or more,"Version 10
Network:
Broadband Internet connection",35 GB available space
